Iteration                     Pivot Distance                Total time (s)                Iteration time (s)            Best integer solution         Improvment                    Max phase                     Zoom                          Column addition strategy      Column addition rate          
1                             1                             5.903000                      1.185000                      1839477.93800001              -305538.35600000              1                             No                            No                            _                             
2                             1                             6.636000                      0.732000                      1654017.71400001              -180856.90400000              1                             No                            No                            _                             
3                             1                             7.312000                      0.676000                      1548307.92500000              -100155.04600000              1                             No                            No                            _                             
4                             1                             7.508000                      0.195000                      1514854.10800000              -33453.81700000               1                             No                            No                            _                             
5                             1                             7.846000                      0.338000                      1493502.37100000              -12174.32700000               1                             No                            No                            _                             
6                             1                             8.007000                      0.160000                      1480057.71400000              -13444.65700000               1                             No                            No                            _                             
7                             1                             8.239000                      0.231000                      1473135.72100000              -6805.49300000                1                             No                            No                            _                             
8                             1                             9.351000                      1.111000                      1228352.84900000              -244782.87200000              2                             No                            No                            _                             
9                             1                             9.854000                      0.502000                      1208591.43200000              -11425.25300000               1                             No                            No                            _                             
10                            1                             10.358000                     0.503000                      1181351.44500000              -27131.73700000               2                             No                            No                            _                             
11                            4                             11.058000                     0.700000                      1179866.04800000              -1212.72700000                2                             No                            Yes                            (4)100.0000                      
12                            1                             11.406000                     0.347000                      1173397.53100000              -6352.51400000                2                             No                            No                            100.0000                      
13                            1                             13.289000                     1.883000                      1095856.32100000              -77541.21000000               4                             No                            No                            100.0000                      
14                            1                             93.307000                     80.017000                     1090675.82100000              -4990.50000000                4                             No                            No                            100.0000                      
15                            1                             93.462000                     0.155000                      1089216.49100000              -1459.33000000                1                             No                            No                            100.0000                      
16                            1                             101.532000                    8.068000                      1088504.91400000              -711.57700000                 4                             Yes                           Yes                            (3)50.0000                       
17                            1                             101.677000                    0.145000                      1085858.82400000              -2646.09000000                1                             No                            No                            50.0000                       
18                            1                             102.292000                    0.614000                      1081906.07100000              -3952.75300000                2                             No                            No                            50.0000                       
19                            1                             126.016000                    23.724000                     1081764.57100000              -141.50000000                 4                             Yes                           Yes                            (3)33.3333                       
20                            1                             137.007000                    10.989000                     1068507.23700000              -13257.33400000               4                             Yes                           Yes                            (3)25.0000                       
21                            1                             137.504000                    0.496000                      1065328.74000000              -3178.49700000                2                             No                            No                            25.0000                       
22                            1                             178.351000                    40.847000                     1063996.24000000              -1332.50000000                2                             No                            No                            25.0000                       
23                            1                             180.420000                    2.067000                      1063700.23700000              -296.00300000                 4                             Yes                           No                            25.0000                       
24                            1                             194.207000                    13.786000                     1063500.49000000              -199.74700000                 4                             Yes                           No                            25.0000                       
25                            1                             240.328000                    46.120000                     1062657.48000000              -843.01000000                 4                             Yes                           No                            25.0000                       
26                            1                             240.522000                    0.193000                      1061279.48000000              -1378.00000000                1                             No                            No                            25.0000                       
27                            1                             250.609000                    10.087000                     1061142.48000000              -137.00000000                 4                             Yes                           No                            25.0000                       
28                            1                             254.940000                    4.330000                      1061142.47000000              -0.01000000                   4                             Yes                           No                            25.0000                       
29                            1                             262.676000                    7.735000                      1061054.97000000              -87.50000000                  4                             Yes                           No                            25.0000                       
30                            1                             272.150000                    9.472000                      1030785.23100000              -30269.73900000               4                             Yes                           No                            25.0000                       
31                            1                             272.320000                    0.170000                      1029140.14700000              -1645.08400000                1                             No                            No                            25.0000                       
32                            1                             273.077000                    0.755000                      1026994.98600000              -2145.16100000                2                             No                            No                            25.0000                       
33                            1                             275.634000                    2.557000                      1009928.00300000              -17066.98300000               4                             No                            No                            25.0000                       
